# Copyright (c) 1966-2021 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2021-08-29
# Phenotypic Series Number	MIM Number	Phenotype
PS100070	Aortic aneurysm, familial abdominal
PS164400	618093	Spinocerebellar ataxia 48
PS165500	Optic atrophy
PS165500	165300	Optic atrophy 3 with cataract
PS165500	165500	Optic atrophy 1
PS165500	165510	Optic atrophy 13 with retinal and foveal abnormalities
PS165500	258500	Optic atrophy 6
PS165500	311050	Optic atrophy 2, X-linked
PS165500	605293	Optic atrophy 4
PS165500	610708	Optic atrophy 5
PS165500	612989	Optic atrophy 7
PS165500	616289	?Optic atrophy 9
PS165500	616648	Optic atrophy 8
PS165500	616732	Optic atrophy 10 with or without ataxia, mental retardation, and seizures
PS165500	617302	?Optic atrophy 11
PS165500	618977	Optic atrophy 12
PS166200	Osteogenesis imperfecta
PS166200	166200	Osteogenesis imperfecta, type I
PS166200	166210	Osteogenesis imperfecta, type II
PS166200	166220	Osteogenesis imperfecta, type IV
PS166200	259420	Osteogenesis imperfecta, type III
PS166200	259440	Osteogenesis imperfecta, type IX
PS166200	301014	Osteogenesis imperfecta, type XIX
PS166200	610682	Osteogenesis imperfecta, type VII
PS166200	610915	Osteogenesis imperfecta, type VIII
PS166200	610967	Osteogenesis imperfecta, type V
PS166200	610968	Osteogenesis imperfecta, type XI
PS166200	613848	Osteogenesis imperfecta, type X
PS166200	613849	Osteogenesis imperfecta, type XII
PS166200	613982	Osteogenesis imperfecta, type VI
PS166200	614856	Osteogenesis imperfecta, type XIII
PS166200	615066	Osteogenesis imperfecta, type XIV
PS166200	615220	Osteogenesis imperfecta, type XV
PS166200	616229	Osteogenesis imperfecta, type XVI
PS166200	616507	Osteogenesis imperfecta, type XVII
PS166200	617952	Osteogenesis imperfecta, type XVIII
PS166200	618644	Osteogenesis imperfecta, type XX
PS166200	619131	Osteogenesis imperfecta 21
PS166780	Otofaciocervical syndrome
PS166780	166780	?Otofaciocervical syndrome
PS166780	615560	Otofaciocervical syndrome 2
PS166800	Otosclerosis
PS166800	166800	Otosclerosis 1
PS166800	605727	Otosclerosis 2
PS166800	608244	Otosclerosis 3
PS166800	608787	Otosclerosis 5
PS166800	611571	{Otosclerosis 4}
PS166800	611572	Otosclerosis 7
PS166800	612096	Otosclerosis 8
PS166800	615589	Otosclerosis 10
PS167200	Pachyonychia congenita
PS167200	167200	Pachyonychia congenita 1
PS167200	167210	Pachyonychia congenita 2
PS167200	260130	Pachyonychia congenita, autosomal recessive
PS167200	615726	Pachyonychia congenita 3
PS167200	615728	Pachyonychia congenita 4
PS167250	Paget disease of bone
PS167250	167250	Paget disease of bone 3
PS167250	239000	Paget disease of bone 5, juvenile-onset
PS167250	602080	{Paget disease of bone 2, early-onset}
PS167250	606263	Paget disease of bone 4
PS167250	616833	Paget disease of bone 6
PS167320	Inclusion body myopathy/Paget disease/frontotemporal dementia
PS167320	167320	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1
PS167320	615422	?Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2
PS167320	615424	?Inclusion body myopathy with early-onset Paget disease without frontotemporal dementia 3
PS168000	Paragangliomas
PS168000	115310	Paragangliomas 4
PS168000	168000	Paragangliomas 1, with or without deafness
PS168000	601650	Paragangliomas 2
PS168000	605373	Paragangliomas 3
PS168000	614165	Paragangliomas 5
PS168000	618464	Paragangliomas 6
PS168000	618475	Paragangliomas 7
PS168500	Parietal foramina
PS168500	168500	Parietal foramina 1
PS168500	609566	Parietal foramina 3
PS168500	609597	Parietal foramina 2
PS168600	Parkinson disease
PS168600	168600	{Parkinson disease, late-onset, susceptibility to}
PS168600	168600	{Parkinson disease, susceptibility to}
PS168600	168600	{Parkinson disease, age of onset, modifier}
PS168600	168601	Parkinson disease 1
PS168600	260300	Parkinson disease 15, autosomal recessive
PS168600	300557	{Parkinson disease 12}
PS168600	600116	Parkinson disease, juvenile, type 2
PS168600	602404	{Parkinson disease 3}
PS168600	605543	Parkinson disease 4
PS168600	605909	Parkinson disease 6, early onset
PS168600	606324	Parkinson disease 7, autosomal recessive early-onset
PS168600	606693	Kufor-Rakeb syndrome
PS168600	606852	{Parkinson disease 10}
PS168600	607060	{Parkinson disease 8}
PS168600	607688	{Parkinson disease 11}
PS168600	610297	{Parkinson disease 13}
PS168600	612953	Parkinson disease 14, autosomal recessive
PS168600	613164	{Parkinson disease 16}
PS168600	613643	{?Parkinson disease 5, susceptibility to}
PS168600	614203	{Parkinson disease 17}
PS168600	614251	{Parkinson disease 18}
PS168600	615528	Parkinson disease 19a, juvenile-onset
PS168600	615528	Parkinson disease 19b, early-onset
PS168600	615530	Parkinson disease 20, early-onset
PS168600	616361	Parkinson disease 21
PS168600	616710	Parkinson disease 22, autosomal dominant
PS168600	616840	Parkinson disease 23, autosomal recessive, early onset
PS169150	Macular dystrophy, patterned
PS169150	169150	Macular dystrophy, patterned, 1
PS169150	608970	Macular dystrophy, patterned, 2
PS169150	608970	Macular dystrophy, butterfly-shaped pigmentary, 2
PS169150	617111	?Macular dystrophy, patterned, 3
PS173900	Polycystic kidney disease
PS173900	173900	Polycystic kidney disease 1
PS173900	263200	Polycystic kidney disease 4, with or without hepatic disease
PS173900	600666	Polycystic kidney disease 3
PS173900	613095	Polycystic kidney disease 2
PS173900	617610	Polycystic kidney disease 5
PS173900	618061	Polycystic kidney disease 6 with or without polycystic liver disease
PS174050	Polycystic liver disease
PS174050	174050	Polycystic liver disease 1
PS174050	617004	Polycystic liver disease 2
PS174050	617874	Polycystic liver disease 3 with or without kidney cysts
PS174050	617875	Polycystic liver disease 4 with or without kidney cysts
PS174200	Polydactyly, postaxial
PS174200	174200	Polydactyly, postaxial, types A1 and B
PS174200	263450	Polydactyly, postaxial, type A5
PS174200	602085	Postaxial polydactyly, type A2
PS174200	607324	Polydactyly, postaxial, type A3
PS174200	608562	Polydactyly, postaxial, type A4
PS174200	615226	?Polydactyly, postaxial, type A6
PS174200	617642	Polydactyly, postaxial, type A7
PS174200	618123	Polydactyly, postaxial, type A8
PS174200	618219	?Polydactyly, postaxial, type A9
PS174200	618498	Polydactyly, postaxial, type A10
PS174400	Polydactyly, preaxial
PS174400	174400	Polydactyly, preaxial I
PS174400	174500	Polydactyly, preaxial type II
PS174400	174500	Triphalangeal thumb-polysyndactyly syndrome
PS174400	174500	Triphalangeal thumb, type I
PS174400	174600	Polydactyly, preaxial III
PS174400	174700	Polydactyly, preaxial, type IV
PS175100	Familial adenomatous polyposis
PS175100	175100	Adenomatous polyposis coli
PS175100	175100	Brain tumor-polyposis syndrome 2
PS175100	175100	Adenoma, periampullary, somatic
PS175100	175100	Gardner syndrome
PS175100	608456	Adenomas, multiple colorectal
PS175100	616415	Familial adenomatous polyposis 3
PS175100	617100	Familial adenomatous polyposis 4
PS175780	Brain small vessel disease
PS175780	175780	Brain small vessel disease with or without ocular anomalies
PS175780	614483	Brain small vessel disease 2
PS175780	618360	Brain small vessel disease 3
PS175800	Porokeratosis
PS175800	175800	Porokeratosis 1, multiple types
PS175800	175850	Porokeratosis 2, palmar, plantar, and disseminated
PS175800	175900	Porokeratosis 3, multiple types
PS175800	607728	Porokeratosis 4, disseminated superficial actinic
PS175800	612293	Porokeratosis 5, disseminated superficial actinic
PS175800	612353	Porokeratosis 6, multiple types
PS175800	614714	Porokeratosis 7, multiple types
PS175800	616063	Porokeratosis 8, disseminated superficial actinic type
PS175800	616631	Porokeratosis 9, multiple types
PS176400	Precocious puberty, central
PS176400	176400	?Precocious puberty, central, 1
PS176400	615346	Precocious puberty, central, 2
PS176670	Progeria
PS176670	176670	Hutchinson-Gilford progeria
PS176670	264090	Wiedemann-Rautenstrauch syndrome
PS176670	614008	Nestor-Guillermo progeria syndrome
PS177000	Protoporphyria, erythropoietic
PS177000	177000	Protoporphyria, erythropoietic, 1
PS177000	300752	Protoporphyria, erythropoietic, X-linked
PS177000	618015	?Protoporphyria, erythropoietic, 2
PS177200	Liddle syndrome
PS177200	177200	Liddle syndrome 1
PS177200	618114	Liddle syndrome 2
PS177200	618126	?Liddle syndrome 3
PS177900	Psoriasis
PS177900	177900	{Psoriasis susceptibility 1}
PS177900	601454	{Psoriasis susceptibility 3}
PS177900	602723	Psoriasis 2
PS177900	603935	{Psoriasis susceptibility 4}
PS177900	604316	{Psoriasis susceptibility 5}
PS177900	605364	{Psoriasis susceptibility 6}
PS177900	605606	{Psoriasis susceptibility 7}
PS177900	605606	{Psoriasis, protection against}
PS177900	607857	{Psoriasis susceptibility 9}
PS177900	610707	{Psoriasis susceptibility 8}
PS177900	612410	{Psoriasis susceptibility 10}
PS177900	612599	{Psoriasis susceptibility 11}
PS177900	612950	{Psoriasis susceptibility 12}
PS177900	614070	{Psoriasis susceptibility 13}
PS177900	614204	Psoriasis 14, pustular
PS177900	616106	{Psoriasis 15, pustular, susceptibility to}
PS178110	Contractures, pterygia, and variable skeletal fusions syndrome
PS178110	178110	Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A
PS178110	618469	Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B
PS178600	Pulmonary hypertension, primary
PS178600	178600	Pulmonary hypertension, familial primary, 1, with or without HHT
PS178600	178600	Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated
PS178600	265400	Pulmonary hypertension, primary, autosomal recessive
PS178600	615342	Pulmonary hypertension, primary, 2
PS178600	615343	Pulmonary hypertension, primary, 3
PS178600	615344	Pulmonary hypertension, primary, 4
PS179010	Pyloric stenosis, infantile hypertrophic
PS179010	179010	Pyloric stenosis, infantile hypertrophic 1
PS179010	300711	Pyloric stenosis, infantile hypertrophic, 4
PS179010	610260	Pyloric stenosis, infantile hypertrophic, 2
PS179010	612017	Pyloric stenosis, infantile hypertrophic, 3
PS179010	612525	Pyloric stenosis, infantile hypertrophic, 5
PS179800	Distal renal tubular acidosis
PS179800	179800	Distal renal tubular acidosis 1
PS179800	267300	Distal renal tubular acidosis 2 with progressive sensorineural hearing loss
PS179800	602722	Distal renal tubular acidosis 3, with or without sensorineural hearing loss
PS179800	611590	Distal renal tubular acidosis 4 with hemolytic anemia
PS179850	Reticulate pigment disorders
PS179850	127400	Dyschromatosis symmetrica hereditaria
PS179850	179850	Dowling-Degos disease 1
PS179850	615327	Dowling-Degos disease 2
PS179850	615537	Reticulate acropigmentation of Kitamura
PS179850	615674	Dowling-Degos disease 3
PS179850	615696	Dowling-Degos disease 4
PS180500	Axenfeld-Rieger syndrome
PS180500	180500	Axenfeld-Rieger syndrome, type 1
PS180500	601499	Rieger syndrome, type 2
PS180500	602482	Axenfeld-Rieger syndrome, type 3
PS180849	Rubinstein-Taybi syndrome
PS180849	180849	Rubinstein-Taybi syndrome 1
PS180849	610543	Chromosome 16p13.3 deletion syndrome
PS180849	613684	Rubinstein-Taybi syndrome 2
PS180860	Silver-Russell syndrome
PS180860	180860	Silver-Russell syndrome 1
PS180860	616489	Silver-Russell syndrome 3
PS180860	618905	Silver-Russell syndrome 2
PS180860	618907	Silver-Russell syndrome 4
PS180860	618908	Silver-Russell syndrome 5
PS182250	Singleton-Merten syndrome
PS182250	182250	Singleton-Merten syndrome 1
PS182250	616298	Singleton-Merten syndrome 2
PS183600	Split-hand/foot malformation
PS183600	183600	Split-hand/foot malformation 1
PS183600	220600	?Split-hand/foot malformation 1 with sensorineural hearing loss
PS183600	225300	Split-hand/foot malformation 6
PS183600	246560	Split-hand/foot malformation 3, gene duplication syndrome
PS183600	313350	Split hand/foot malformation 2
PS183600	605289	Split-hand/foot malformation 4
PS183600	606708	Split-hand/foot malformation 5
PS184255	Spondylometaphyseal dysplasia
PS184255	156550	Kniest dysplasia
PS184255	184250	SMED Strudwick type
PS184255	184252	Spondylometaphyseal dysplasia, Kozlowski type
PS184255	184255	Spondylometaphyseal dysplasia, corner fracture type
PS184255	250220	Spondylometaphyseal dysplasia, Sedaghatian type
PS184255	602271	Spondylometaphyseal dysplasia, axial
PS184255	607944	Spondyloenchondrodysplasia with immune dysregulation
PS184255	613320	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melike type
PS184260	Odontochondrodysplasia
PS184260	184260	Odontochondrodysplasia 1
PS184260	619269	?Ondontochondrodysplasia 2 with hearing loss and diabetes
PS184450	Stuttering, familial persistent
PS184450	184450	Stuttering, familial persistent, 1
PS184450	609261	Stuttering, familial persistent, 2
PS184450	614655	Stuttering, familial persistent, 3
PS184450	614668	Stuttering, familial persistent, 4
PS184840	Otospondylomegaepiphyseal dysplasia
PS184840	184840	Otospondylomegaepiphyseal dysplasia, autosomal dominant
PS184840	215150	Otospondylomegaepiphyseal dysplasia, autosomal recessive
PS185800	Proximal symphalangism
PS185800	185800	Symphalangism, proximal, 1A
PS185800	615298	Symphalangism, proximal, 1B
PS186500	Multiple synostoses syndrome
PS186500	186500	Multiple synostoses syndrome 1
PS186500	610017	Multiple synostoses syndrome 2
PS186500	612961	Multiple synostoses syndrome 3
PS186500	617898	Multiple synostoses syndrome 4
PS187300	Telangiectasia, hereditary hemorrhagic
PS187300	187300	Telangiectasia, hereditary hemorrhagic, type 1
PS187300	600376	Telangiectasia, hereditary hemorrhagic, type 2
PS187300	601101	Telangiectasia, hereditary hemorrhagic, type 3
PS187300	610655	Telangiectasia, hereditary hemorrhagic, type 4
PS187300	615506	Telangiectasia, hereditary hemorrhagic, type 5
PS187950	Thrombocythemia
PS187950	187950	Thrombocythemia, somatic
PS187950	187950	Thrombocythemia 1
PS187950	601977	Thrombocythemia 2
PS187950	614521	Thrombocythemia 3
PS188050	Thrombophilia
PS188050	176860	Thrombophilia due to protein C deficiency, autosomal dominant
PS188050	188050	Thrombophilia due to thrombin defect
PS188050	188050	{Venous thromboembolism, susceptibility to}
PS188050	188050	{Venous thrombosis, protection against}
PS188050	188050	{Thromboembolism, susceptibility to}
PS188050	188055	Thrombophilia due to activated protein C resistance
PS188050	188055	{Thrombophilia, susceptibility to, due to factor V Leiden}
PS188050	300807	{Deep venous thrombosis, protection against}
PS188050	300807	Thrombophilia, X-linked, due to factor IX defect
PS188050	612304	Thrombophilia due to protein C deficiency, autosomal recessive
PS188050	612336	Thrombophilia due to protein S deficiency, autosomal dominant
PS188050	612348	Thrombophilia, familial, due to decreased release of PLAT
PS188050	612348	Hyperfibrinolysis, familial, due to increased release of PLAT
PS188050	612356	Thrombophilia due to heparin cofactor II deficiency
PS188050	613116	Thrombophilia due to HRG deficiency
PS188050	613118	Thrombophilia due to antithrombin III deficiency
PS188050	614486	Thrombophilia due to thrombomodulin defect
PS188050	614514	Thrombophilia due to protein S deficiency, autosomal recessive
PS188550	Thyroid cancer, nonmedullary
PS188550	188470	{Thyroid cancer, nonmedullary, 2}
PS188550	188470	{Thyroid carcinoma, follicular}
PS188550	188470	Thyroid carcinoma, follicular, somatic
PS188550	188550	{Thyroid cancer, nonmedullary, 1}
PS188550	606240	{Thyroid carcinoma, nonmedullary, 3}
PS188550	616534	{Thyroid cancer, nonmedullary, 4}
PS188550	616535	{?Thyroid cancer, nonmedullary, 5}
PS188580	Thyrotoxic periodic paralysis
PS188580	188580	{Thyrotoxic periodic paralysis, susceptibility to, 1}
PS188580	613239	{Thyrotoxic periodic paralysis, susceptibility to, 2}
PS188580	614834	{Thyrotoxic periodic paralysis, susceptibility to, 3}
PS189800	Preeclampsia/eclampsia
PS189800	189800	{Hypertension, pregnancy-induced}
PS189800	189800	Preeclampsia/eclampsia 1
PS189800	609402	Preeclampsia/eclampsia 2
PS189800	609403	Preeclampsia/eclampsia 3
PS189800	609404	Preeclampsia/eclampsia 4
PS189800	614595	Preeclampsia/eclampsia 5
PS190300	Tremor, hereditary essential
PS190300	190300	{Essential tremor, hereditary, 1}
PS190300	602134	Essential tremor, hereditary, 2
PS190300	611456	Essential tremor, hereditary, 3
PS190300	614782	Essential tremor, hereditary, 4
PS190300	616736	Essential tremor, hereditary, 5
PS190300	618866	Tremor, hereditary essential, 6
PS190350	Trichorhinophalangeal syndrome
PS190350	150230	Trichorhinophalangeal syndrome, type II
PS190350	190350	Trichorhinophalangeal syndrome, type I
PS190350	190351	Trichorhinophalangeal syndrome, type III
PS190440	Trigonocephaly, isolated
PS190440	190440	Trigonocephaly 1
PS190440	614485	Trigonocephaly 2
PS191100	Tuberous sclerosis
PS191100	191100	Tuberous sclerosis-1
PS191100	613254	Tuberous sclerosis-2
PS191100	613254	{TSC2 angiomyolipomas, renal, modifier of}
PS191830	Renal hypodysplasia/aplasia
PS191830	191830	Renal hypodysplasia/aplasia 1
PS191830	615721	?Renal hypodysplasia/aplasia 2
PS191830	617805	Renal hypodysplasia/aplasia 3
PS192500	Long QT syndrome
PS192500	170390	Andersen syndrome
PS192500	192500	Long QT syndrome 1
PS192500	192500	{Long QT syndrome 1, acquired, susceptibility to}
PS192500	600919	Long QT syndrome 4
PS192500	600919	Cardiac arrhythmia, ankyrin-B-related
PS192500	603830	Long QT syndrome 3
PS192500	611818	Long QT syndrome 9
PS192500	611819	Atrial fibrillation, familial, 17
PS192500	611819	Long QT syndrome 10
PS192500	611820	?Long QT syndrome 11
PS192500	612955	Long QT syndrome 12
PS192500	613485	Long QT syndrome 13
PS192500	613688	Long QT syndrome 2
PS192500	613688	{Long QT syndrome 2, acquired, susceptibility to}
PS192500	613688	{Long QT syndrome, acquired, reduced susceptibility to}
PS192500	613693	Long QT syndrome 6
PS192500	613695	Long QT syndrome 5
PS192500	616247	Long QT syndrome 14
PS192500	616249	Long QT syndrome 15
PS192500	618447	Long QT syndrome 8
PS192500	618782	?Ventricular tachycardia, catecholaminergic polymorphic 6
PS192500	618782	Long QT syndrome 16
PS192600	Cardiomyopathy, familial hypertrophic
PS192600	115195	Cardiomyopathy, hypertrophic, 2
PS192600	115196	Cardiomyopathy, hypertrophic, 3
PS192600	115197	Cardiomyopathy, hypertrophic, 4
PS192600	192600	Cardiomyopathy, hypertrophic, 1
PS192600	192600	Cardiomyopathy, hypertrophic, 1, digenic
PS192600	192600	Cardiomyopathy, familial hypertrophic
PS192600	600858	Cardiomyopathy, hypertrophic 6
PS192600	601493	Cardiomyopathy, dilated, 1C, with or without LVNC
PS192600	601493	Left ventricular noncompaction 3
PS192600	601493	Cardiomyopathy, hypertrophic, 24
PS192600	607487	Cardiomyopathy, hypertrophic, 25
PS192600	608751	Cardiomyopathy, hypertrophic, 8
PS192600	608758	Cardiomyopathy, hypertrophic, 10
PS192600	612098	Cardiomyopathy, hypertrophic, 11
PS192600	612124	Cardiomyopathy, hypertrophic, 12
PS192600	612158	Cardiomyopathy, dilated, 1AA, with or without LVNC
PS192600	612158	Cardiomyopathy, hypertrophic, 23, with or without LVNC
PS192600	613243	Cardiomyopathy, hypertrophic, 13
PS192600	613251	Cardiomyopathy, hypertrophic, 14
PS192600	613255	Cardiomyopathy, hypertrophic, 15
PS192600	613690	Cardiomyopathy, hypertrophic, 7
PS192600	613765	Cardiomyopathy, familial hypertrophic, 9
PS192600	613838	Cardiomyopathy, hypertrophic, 16
PS192600	613873	Cardiomyopathy, hypertrophic, 17
PS192600	613874	Cardiomyopathy, hypertrophic, 18
PS192600	613876	Cardiomyopathy, hypertrophic, 20
PS192600	614676	Cardiomyopathy, hypertrophic, 21
PS192600	615248	Cardiomyopathy, familial restrictive, 4
PS192600	615248	Cardiomyopathy, dilated, 1KK
PS192600	615248	Cardiomyopathy, hypertrophic, 22
PS192600	617047	Cardiomyopathy, familial restrictive 5
PS192600	617047	Cardiomyopathy, familial hypertrophic, 26
PS192600	618052	Cardiomyopathy, familial hypertrophic 27
PS192600	619402	Cardiomyopathy, familial hypertrophic, 28
PS193000	Vesicoureteral reflux
PS193000	193000	Vesicoureteral reflux
PS193000	610878	Vesicoureteral reflux 2
PS193000	613674	Vesicoureteral reflux 3
PS193000	614317	Vesicoureteral reflux 4
PS193000	614318	Vesicoureteral reflux 5
PS193000	614319	Vesicoureteral reflux 6
PS193000	615390	Vesicoureteral reflux 7
PS193000	615963	Vesicoureteral reflux 8
PS193100	Hypophosphatemic rickets
PS193100	193100	Hypophosphatemic rickets, autosomal dominant
PS193100	241520	Hypophosphatemic rickets, AR
PS193100	300554	Hypophosphatemic rickets
PS193100	307800	Hypophosphatemic rickets, X-linked dominant
PS193100	613312	Hypophosphatemic rickets, autosomal recessive, 2
PS193500	Waardenburg syndrome
PS193500	103470	Waardenburg syndrome/ocular albinism, digenic
PS193500	103470	Waardenburg syndrome/albinism, digenic
PS193500	148820	Waardenburg syndrome, type 3
PS193500	193500	Waardenburg syndrome, type 1
PS193500	193510	Waardenburg syndrome, type 2A
PS193500	277580	Waardenburg syndrome, type 4A
PS193500	600193	Waardenburg syndrome, type 2B
PS193500	606662	Waardenburg syndrome, type 2C
PS193500	608890	Waardenburg syndrome, type 2D
PS193500	611584	Waardenburg syndrome, type 2E, with or without neurologic involvement
PS193500	613265	Waardenburg syndrome, type 4B
PS193500	613266	Waardenburg syndrome, type 4C
PS193670	WHIM syndrome
PS193670	193670	Myelokathexis, isolated
PS193670	193670	WHIM syndrome 1
PS193670	619407	?WHIM syndrome 2
PS193900	White sponge nevus
PS193900	193900	White sponge nevus 1
PS193900	615785	White sponge nevus 2
PS194070	Wilms tumor
PS194070	194070	Wilms tumor, type 1
PS194070	194070	Wilms tumor, somatic
PS194070	194070	Wilms tumor
PS194070	194071	Wilms tumor 2
PS194070	194090	Wilms tumor, type 3
PS194070	601363	Wilms tumor, type 4
PS194070	601583	{Wilms tumor susceptibility-5}
PS194070	616806	{Wilms tumor 6, susceptibility to}
PS200600	Achondrogenesis
PS200600	200600	Achondrogenesis, type IA
PS200600	200610	Achondrogenesis, type II or hypochondrogenesis
PS200600	600972	Achondrogenesis Ib
PS201000	Carpenter syndrome
PS201000	201000	Carpenter syndrome
PS201000	614976	Carpenter syndrome 2
PS202200	Glucocorticoid deficiency
PS202200	202200	Glucocorticoid deficiency, due to ACTH unresponsiveness
PS202200	607398	Glucocorticoid deficiency 2
PS202200	609197	Glucocorticoid deficiency 3
PS202200	614736	Glucocorticoid deficiency 4, with or without mineralocorticoid deficiency
PS202200	617825	?Glucocorticoid deficiency 5
PS202700	Neutropenia, severe congenital
PS202700	202700	Neutropenia, severe congenital 1, autosomal dominant
PS202700	300299	Neutropenia, severe congenital, X-linked
PS202700	610738	Neutropenia, severe congenital 3, autosomal recessive
PS202700	612541	Neutropenia, severe congenital 4, autosomal recessive
PS202700	612541	Dursun syndrome
PS202700	613107	Neutropenia, severe congenital 2, autosomal dominant
PS202700	615285	Neutropenia, severe congenital, 5, autosomal recessive
PS202700	616022	Neutropenia, severe congenital, 6, autosomal recessive
PS202700	617014	Neutropenia, severe congenital, 7, autosomal recessive
PS202700	618752	Neutropenia, severe congenital, 8, autosomal dominant
PS203100	Oculocutaneous albinism
PS203100	113750	[Skin/hair/eye pigmentation 4, fair/dark skin]
PS203100	113750	Albinism, oculocutaneous, type VI
PS203100	203100	Albinism, oculocutaneous, type IA
PS203100	203200	Albinism, oculocutaneous, type II
PS203100	203200	{Albinism, oculocutaneous, type II, modifier of}
PS203100	203200	Albinism, brown oculocutaneous
PS203100	203290	Albinism, oculocutaneous, type III
PS203100	606574	Albinism, oculocutaneous, type IV
PS203100	606952	Albinism, oculocutaneous, type IB
PS203100	615179	Albinism, oculocutaneous, type VII
PS203100	615312	Albinism, oculocutaneous, type V
PS203100	619165	Oculocutaneous albinism, type VIII
PS203300	Hermansky-Pudlak syndrome
PS203300	203300	Hermansky-Pudlak syndrome 1
PS203300	608233	Hermansky-Pudlak syndrome 2
PS203300	614072	Hermansky-Pudlak syndrome 3
PS203300	614073	Hermansky-Pudlak syndrome 4
PS203300	614074	Hermansky-Pudlak syndrome 5
PS203300	614075	Hermansky-Pudlak syndrome 6
PS203300	614076	Hermansky-Pudlak syndrome 7
PS203300	614077	Hermansky-Pudlak syndrome 8
PS203300	614171	?Hermansky-Pudlak syndrome 9
PS203300	617050	?Hermansky-Pudlak syndrome 10
PS203300	619172	Hermansky-Pudlak syndrome 11
PS203650	Alopecia-mental retardation syndrome
PS203650	203650	?Alopecia-mental retardation syndrome 1
PS203650	203650	Alopecia-mental retardation syndrome 1
PS203650	610422	Alopecia-mental retardation syndrome 2
PS203650	613930	Alopecia-mental retardation syndrome 3
PS203650	618840	Alopecia-mental retardation syndrome 4
PS203655	Alopecia, isolated
PS203655	104000	Alopecia areata 1
PS203655	104110	Alopecia, focal
PS203655	109200	Alopecia, androgenetic, 1
PS203655	203655	Alopecia universalis
PS203655	300042	Alopecia, congenital
PS203655	300710	Alopecia, androgenetic, 2
PS203655	610753	Alopecia areata 2
PS203655	612421	Alopecia, androgenetic, 3
PS204000	Leber congenital amaurosis
PS204000	204000	Leber congenital amaurosis 1
PS204000	204100	Leber congenital amaurosis 2
PS204000	604232	Retinitis pigmentosa, juvenile, autosomal recessive
PS204000	604232	Leber congenital amaurosis 3
PS204000	604393	Retinitis pigmentosa, juvenile
PS204000	604393	Cone-rod dystrophy
PS204000	604393	Leber congenital amaurosis 4
PS204000	604537	Leber congenital amaurosis 5
PS204000	608133	Leber congenital amaurosis 18
PS204000	608133	Retinitis pigmentosa 7, digenic form
PS204000	608133	Retinitis pigmentosa 7 and digenic form
PS204000	608553	Leber congenital amaurosis 9
PS204000	610612	Leber congenital amaurosis 12
PS204000	611755	Leber congenital amaurosis 10
PS204000	612712	Leber congenital amaurosis 13
PS204000	613341	Retinitis pigmentosa, juvenile
PS204000	613341	Leber congenital amaurosis 14
PS204000	613341	Retinal dystrophy, early-onset severe
PS204000	613826	Leber congenital amaurosis 6
PS204000	613829	Leber congenital amaurosis 7
PS204000	613835	Leber congenital amaurosis 8
PS204000	613837	Leber congenital amaurosis 11
PS204000	613843	Leber congenital amaurosis 15
PS204000	614186	Leber congenital amaurosis 16
PS204000	615360	Leber congenital amaurosis 17
PS204000	618513	?Leber congenital amaurosis 19
PS206100	Anemia, hypochromic microcytic, with iron overload
PS206100	206100	Anemia, hypochromic microcytic, with iron overload 1
PS206100	615234	?Anemia, hypochromic microcytic, with iron overload 2
PS206500	Anencephaly
PS206500	206500	?Anencephaly 1
PS206500	619452	?Anencephaly 2
PS208000	Generalized arterial calcification of infancy
PS208000	208000	Arterial calcification, generalized, of infancy, 1
PS208000	614473	Arterial calcification, generalized, of infancy, 2
PS208085	Arthrogryposis, renal dysfunction, and cholestasis
PS208085	208085	Arthrogryposis, renal dysfunction, and cholestasis 1
PS208085	613404	Arthrogryposis, renal dysfunction, and cholestasis 2
PS208150	Fetal akinesia deformation sequence
PS208150	208150	Fetal akinesia deformation sequence 1
PS208150	618388	Fetal akinesia deformation sequence 2
PS208150	618389	Fetal akinesia deformation sequence 3
PS208150	618393	Fetal akinesia deformation sequence 4
PS208500	Short-rib thoracic dysplasia
PS208500	208500	Short-rib thoracic dysplasia 1 with or without polydactyly
PS208500	225500	Ellis-van Creveld syndrome
PS208500	263520	Short-rib thoracic dysplasia 6 with or without polydactyly
PS208500	266920	Short-rib thoracic dysplasia 9 with or without polydactyly
PS208500	269860	Short-rib thoracic dysplasia 12
PS208500	611263	Short-rib thoracic dysplasia 2 with or without polydactyly
PS208500	613091	Short-rib thoracic dysplasia 3 with or without polydactyly
PS208500	613819	Short-rib thoracic dysplasia 4 with or without polydactyly
PS208500	614091	Short-rib thoracic dysplasia 7 with or without polydactyly
PS208500	614376	?Short-rib thoracic dysplasia 5 with or without polydactyly
PS208500	615503	Short-rib thoracic dysplasia 8 with or without polydactyly
PS208500	615630	Short-rib thoracic dysplasia 10 with or without polydactyly
PS208500	615633	Short-rib thoracic dysplasia 11 with or without polydactyly
PS208500	616300	Short-rib thoracic dysplasia 13 with or without polydactyly
PS208500	616546	Short-rib thoracic dysplasia 14 with polydactyly
